Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Livio Cancedda-Dupuis,126.5,1.17,151.28,13.0,3.5,133.0,0.83,2145,2248,730,6,7,118.17,34.31,0.93,148.02,-1.68,1.28,1.07,124.0,128.5,1.5,2.0,15.17,1177.27,0.87,21909.37
Ugur Barkin Tahaoglu,126.4,1.23,41.76,11.0,4.5,133.3,0.85,1890,2213,449,5,6,26.67,32.25,0.78,82.11,-1.68,1.53,0.97,120.0,131.8,3.5,1.0,13.49,1040.05,0.61,6741.74
Alisher Suleymenov,126.2,1.69,30.63,4.0,3.0,137.4,1.55,2372,2234,157,2,2,25.88,34.94,0.64,11.5,-1.69,2.01,1.37,108.4,144.0,1.0,2.0,6.76,1220.86,0.41,132.31
Carmel Barwick,126.2,1.25,199.09,8.0,5.0,130.5,1.4,1837,1885,328,4,4,109.86,33.86,0.92,217.45,-1.69,0.93,1.58,142.0,110.3,3.0,2.0,10.04,1146.68,0.85,47284.21
Javokhir Sindarov,125.9,1.4,129.95,8.0,3.0,117.2,1.66,2626,2494,447,4,4,100.5,24.94,0.95,137.71,-1.71,0.93,1.86,139.4,112.4,2.0,1.0,11.19,621.8,0.9,18965.05
Alexander Moiseenko,125.9,1.59,112.04,10.0,5.0,129.6,1.42,2530,2493,582,5,5,30.34,30.43,0.97,135.86,-1.71,2.23,0.95,110.0,141.8,2.0,3.0,15.9,926.18,0.95,18457.3
Faustino Oro,125.9,1.54,97.76,12.0,7.5,126.4,1.63,2463,2521,582,6,6,27.1,29.03,1.06,129.19,-1.71,1.66,1.42,123.4,128.4,4.5,3.0,18.48,842.52,1.12,16689.49
Xeniya Balabayeva,125.8,1.48,75.53,10.0,8.0,155.8,0.74,2285,2333,444,4,6,17.98,55.31,1.74,112.58,-1.72,0.55,2.09,157.8,104.4,4.0,4.0,14.75,3059.09,3.01,12675.27
Rasmus Skytte,125.7,1.43,79.86,13.0,5.5,132.4,1.31,2408,2346,489,7,6,36.61,25.63,1.02,119.23,-1.72,1.61,1.22,129.3,121.6,4.5,1.0,18.54,657.04,1.03,14215.46
Shakhriyar Mamedyarov,125.7,1.46,48.3,2.0,0.0,125.7,1.46,2680,2414,56,1,1,48.3,28.28,1.3,10.95,-1.72,2.38,0.54,105.7,145.7,0.0,0.0,2.92,800.0,1.69,119.97
Rauf Mamedov,125.7,1.45,72.78,7.0,5.0,150.3,1.2,2620,2318,462,4,3,21.6,46.02,1.29,105.12,-1.72,1.45,1.46,130.6,119.1,3.0,2.0,10.16,2117.95,1.66,11051.2
Harold Wanyama,125.3,1.41,24.39,12.0,6.0,117.5,1.62,2179,2220,489,6,6,22.91,23.43,0.62,11.0,-1.74,1.22,1.6,132.2,118.4,4.0,2.0,16.93,548.81,0.39,121.08
Dmitry Atlas,125.0,1.27,138.84,9.0,4.0,132.7,0.95,2107,2063,284,6,3,37.63,26.84,0.8,197.53,-1.76,1.24,1.31,126.2,122.5,3.0,1.0,11.41,720.29,0.63,39017.21
Stanley Badacsonyi,125.0,1.48,99.77,11.0,6.0,130.7,1.13,2376,2376,472,4,7,28.03,35.8,0.84,186.1,-1.76,1.78,1.31,109.7,133.7,1.0,5.0,16.27,1281.29,0.7,34633.75
Alexander Shabalov,124.5,1.24,54.68,10.0,4.5,138.0,0.92,2448,2277,390,5,5,25.51,42.26,1.26,103.36,-1.79,0.61,1.88,147.4,101.5,3.5,1.0,12.43,1786.24,1.58,10682.36
Artjom Gurevich,124.4,1.21,93.35,13.0,3.0,129.4,0.92,2183,2128,486,6,7,40.52,32.13,1.06,105.86,-1.79,1.01,1.39,133.5,116.5,2.0,1.0,15.79,1032.11,1.12,11206.43
Irina Bulmaga,124.2,1.52,57.17,11.0,7.5,135.0,0.91,2221,2321,536,5,6,19.39,35.32,1.14,122.22,-1.8,0.92,2.02,141.3,109.9,3.0,4.5,16.76,1247.53,1.31,14937.74
Balahari Bharat Kumar,124.1,1.19,59.15,12.0,3.0,128.5,1.18,2005,2156,411,5,7,34.65,23.78,0.67,88.56,-1.8,1.12,1.23,127.8,121.5,2.0,1.0,14.23,565.62,0.45,7842.05
Natasha K Regan,124.1,1.33,68.69,12.0,8.5,140.0,1.07,1842,1823,456,6,6,29.26,45.6,1.34,110.55,-1.8,1.37,1.28,126.9,121.3,5.0,3.5,15.94,2079.74,1.8,12220.97
Nicolai Kistrup,124.0,1.37,79.18,13.0,4.5,131.0,1.18,2292,2225,604,6,7,34.62,26.51,0.69,89.12,-1.81,1.41,1.33,117.5,129.6,0.5,4.0,17.78,702.83,0.47,7941.97
Sarah N Longson,123.8,1.06,65.22,12.0,1.5,132.6,0.77,2043,1845,375,5,7,26.12,25.79,0.7,95.19,-1.82,0.82,1.22,136.8,114.4,1.5,0.0,12.67,665.25,0.5,9061.51
Theo Khoury,123.7,1.34,75.31,11.0,2.5,125.4,1.07,2157,2281,483,5,6,42.38,23.81,0.85,96.21,-1.83,1.76,0.99,114.3,131.4,2.5,0.0,14.71,566.72,0.72,9256.17
Fy Antenaina Rakotomaharo,123.6,1.62,48.71,12.0,5.5,125.8,1.48,2435,2416,592,6,6,27.48,24.97,1.0,60.42,-1.83,1.69,1.55,126.9,120.4,3.5,2.0,19.44,623.5,0.99,3650.0
Stepan Zaiarski,123.6,1.46,160.39,14.0,8.5,122.6,1.27,1950,1917,640,7,7,171.67,32.94,0.76,133.22,-1.83,1.53,1.39,121.3,125.8,4.5,4.0,20.4,1084.94,0.57,17746.32
Qixuan Han,123.4,1.16,165.96,13.0,5.5,127.9,1.09,1785,1651,550,6,7,141.93,33.77,0.91,156.98,-1.84,1.2,1.13,119.6,126.7,2.5,3.0,15.14,1140.42,0.83,24644.1
Jonas Buhl Bjerre,123.3,1.42,40.26,12.0,5.5,135.9,1.08,2527,2420,559,6,6,28.84,36.86,1.08,48.1,-1.85,1.14,1.7,131.6,115.0,3.0,2.5,17.04,1358.57,1.18,2313.29
