Player,avg_missed_points,avg_gi,avg_missed_points,TPR,total_game_count,Points,gi_median,missed_points_median,Elo,,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Matthew J Turner,1.03,136.4,1.03,2449,12,5.5,144.2,0.7,2415,,500,6,6,23.73,25.9,0.78,120.49,-1.14,0.8,1.26,141.2,131.6,3,2.5,12.37,670.69,0.6,14518.64
Read Samadov,1.21,136.3,1.21,2561,11,6,136,1.49,2435,,590,3,8,23.79,19.62,0.78,100.49,-1.14,0.92,1.32,138.4,135.5,0.5,5.5,13.32,384.86,0.61,10097.24
Nicholas Pert,0.78,136.2,0.78,2303,9,3.5,139.7,0.65,2536,,417,6,3,26.7,29.14,0.77,106.44,-1.15,0.63,1.06,138.1,132.4,1.5,2,6.98,849.19,0.6,11329.21
Daniel Dardha,0.95,136.1,0.95,2408,14,8.5,157.5,0.4,2613,,544,8,6,16.98,34.06,1.26,80.45,-1.16,1,0.88,134.7,137.9,6,2.5,13.29,1160.37,1.59,6472.86
Zalkar Kurbanbaev,0.95,136,0.95,2369,12,6.5,143.7,1.06,1851,,580,7,5,30.22,24.31,0.74,102.04,-1.16,0.65,1.37,147.2,120.4,5,1.5,11.44,591.03,0.55,10412.46
Daniyal Sapenov,1.38,135.6,1.38,2662,11,8,144.8,1.14,2416,,623,9,2,22.26,35.81,1.17,117.41,-1.19,1.47,0.96,131.6,153.6,6,2,15.16,1282.21,1.36,13785.99
Victor Bologan,1.15,135.6,1.15,2440,14,9,150,0.78,2444,,529,7,7,24.84,35.97,0.97,49.08,-1.19,1.08,1.22,134.1,137,4,5,16.06,1293.58,0.94,2408.87
Michael Adams,1.28,135.4,1.28,2553,14,8,150,0.9,2700,,736,7,7,20.84,30.18,0.98,116,-1.19,1.48,1.09,124.6,146.3,3.5,4.5,17.96,910.93,0.97,13456.99
Pentala Harikrishna,1.2,135.4,1.2,2502,18,10.5,136.4,1.12,2641,,971,8,10,21.84,25.48,1.02,61.72,-1.2,1.13,1.25,136.3,134.6,5,5.5,21.54,649.16,1.04,3809.02
Darmen Dauren,1.04,135.3,1.04,1951,15,9,143,0.74,1943,,590,6,6,103.32,15.73,0.48,117.64,-1.2,0.87,0.9,137.1,133.5,2.5,2,10.58,247.29,0.23,13839.83
Dildarav Lishoy Gengis Paratazham,0.88,135.3,0.88,2184,12,4.5,134.8,0.86,1898,,739,9,6,25.39,26.86,0.99,94.73,-1.2,0.97,1.16,134.3,136.7,4,5,15.67,721.68,0.98,8973.55
Jingyao Tin,1.13,135.2,1.13,2389,15,9,137.6,0.9,2463,,748,10,5,20.18,25.9,0.83,106.26,-1.21,1.1,1.18,134.4,136.7,6,3,16.89,670.8,0.68,11292.15
Jose Fernando Cuenca Jimenez,1.07,135.2,1.07,2366,12,7,151.2,0.76,2423,,581,6,6,19.88,32.64,1.03,105.62,-1.2,0.72,1.42,149.8,120.6,5,2,12.88,1065.24,1.06,11154.72
Adam Kozak,1.23,134.9,1.23,2535,13,11.5,157.6,0.82,2478,,643,7,6,16.12,38.3,1.14,66.89,-1.22,0.84,1.7,149.1,118.2,7,4.5,16.04,1467.14,1.29,4474.17
Lorin D`Costa,1.12,134.8,1.12,2397,10,4.5,157.2,0.88,2289,,463,5,5,15.68,35.14,1.15,52.95,-1.23,0.92,1.31,142.3,127.4,2.5,2,11.18,1234.62,1.33,2804.12
Kazybek Nogerbek,1.3,134.6,1.3,2605,15,11,137.7,1.08,2563,,659,7,8,26.65,29.47,1.04,105,-1.24,1.12,1.46,137.8,131.7,5,6,19.54,868.3,1.08,11025.21
Ilya Gurevich,0.98,134.5,0.98,2354,8,3,157.6,0.16,2586,,337,3,5,10.54,37.25,1.45,22.57,-1.24,1.28,0.81,130.7,136.8,2.5,0.5,7.86,1387.93,2.11,509.46
Matthew J Wadsworth,0.99,134.4,0.99,2278,11,6,149.1,0.67,2300,,469,6,5,19.91,29.54,0.87,127.77,-1.25,1.08,0.89,135.1,133.4,4,2,10.93,872.44,0.76,16324.95
Ameet K Ghasi,1.27,134.2,1.27,2537,12,7.5,132.9,1.46,2495,,576,6,6,21.6,24.67,0.91,83.17,-1.26,1.28,1.27,133.3,135,3.5,4,15.29,608.83,0.82,6917.42
Rinat Jumabayev,1.07,134.2,1.07,2449,14,8,146,1.01,2528,,719,8,6,21.47,29.91,0.98,59.13,-1.26,1.2,0.9,132.7,136.2,4.5,3.5,14.99,894.88,0.95,3496.84
Denis Makhnev,1.31,133.9,1.31,2495,15,10,145.5,1.09,2511,,790,8,7,26.83,30.12,0.91,137.44,-1.27,1.23,1.4,132.3,135.8,3.5,6.5,19.59,907.48,0.83,18889.95
Gergely Kantor,1.06,133.8,1.06,2301,11,4,139.9,1.11,2541,,451,6,5,27.82,18.82,0.5,177.92,-1.28,0.99,1.15,137.7,129,3,1,11.68,354.16,0.25,31655.51
Bodhana Sivanandan,1.06,133.7,1.06,2241,12,7,143.9,0.68,2192,,588,6,6,9.3,27.37,1.02,103.95,-1.29,1.06,1.07,132.9,134.5,4,3,12.75,748.96,1.05,10806
Pengxiao Zhu,0.99,133.6,0.99,2204,10,2.5,140.6,0.92,1997,,397,8,2,26.99,22.15,0.57,126.24,-1.29,0.98,1.02,136.1,123.9,2.5,0,9.89,490.76,0.32,15935.79
George Zhao,1.1,133.5,1.1,2277,10,4,138.6,0.67,2090,,404,4,6,136.26,15.93,0.72,153.6,-1.3,1.32,0.95,135.8,132,3,1,10.98,253.87,0.52,23592.91
Nitzan Steinberg,1.24,133.4,1.24,2446,12,8,147.8,0.84,2486,,608,6,6,20.31,32.74,1.21,96.93,-1.3,0.86,1.62,146.8,119.9,5,3,14.9,1072.16,1.47,9395.58
Ganzorig Amartuvshin,1.2,133.4,1.2,2412,13,6.5,133.5,1.14,2320,,619,7,6,13.81,23.44,0.92,83.33,-1.3,1.35,1.02,135.4,131.1,4.5,2,15.61,549.22,0.84,6943.13
Igor Glek,1.14,133.4,1.14,2236,9,4,129.9,1.19,2346,,733,9,4,20.69,32.99,1.04,122.27,-1.3,1.06,1,135.4,128.9,6.5,1.5,13.56,1088.34,1.09,14951.09
Alua Nurman,1.04,133.4,1.04,2351,13,8,157.7,0.76,2325,,385,4,5,32.45,20.47,0.52,81.84,-1.3,0.88,1.34,135,132.1,1.5,2.5,10.22,419.18,0.27,6697.99
Luke J McShane,1.48,133.2,1.48,2508,12,10,142.4,1.42,2591,,572,6,6,17.78,32.1,1.09,59.06,-1.32,1.75,1.2,123.6,142.7,4,6,17.72,1030.39,1.18,3487.72
Henrik Stepanyan,1.01,133.2,1.01,2280,11,5,140.3,0.92,2085,,448,6,5,34.84,28.73,0.96,70.12,-1.32,1.58,0.33,115.5,154.4,3,2,11.13,825.14,0.92,4916.64
Rohan Bansal,0.88,133.2,0.88,2161,12,2.5,137.8,0.64,1931,,479,7,5,36.32,20.7,0.59,126.25,-1.31,0.85,0.93,134.9,130.8,2,0.5,10.57,428.47,0.35,15939.7
Banele Mhango,1.02,132.8,1.02,2309,12,5.5,136.7,0.68,2231,,506,6,6,22.98,27.23,0.92,62.77,-1.34,0.6,1.45,145.5,120.1,3.5,2,12.29,741.38,0.84,3939.97
Jan Klimkowski,1.07,132.6,1.07,2358,15,7.5,131.3,0.98,2453,,693,8,7,17.66,25.91,0.77,139.89,-1.35,1.19,0.95,130.6,134.8,4,3.5,16.12,671.33,0.59,19570.01
Andrei Volokitin,1.17,132.5,1.17,2358,11,6,142,0.64,2517,,479,6,5,22.68,29.01,1.06,13.31,-1.35,1.63,0.62,125.4,141.1,2.5,3.5,12.87,841.39,1.12,177.08
Ruslan Momunaliev,1.01,132.5,1.01,2346,11,3,139.4,0.78,1878,,471,6,5,39.03,28.2,0.84,123.07,-1.35,1.08,0.92,129.9,135.7,2,1,11.09,795.46,0.7,15146.83
Frankie Badacsonyi,0.85,132.5,0.85,2057,8,3.5,139.6,0.57,2128,,316,5,3,28.59,31.18,1,95.96,-1.35,0.28,1.8,149.2,104.7,2.5,1,6.77,972.3,0.99,9208.51
Mohd Al-Mudahka,1.15,132.4,1.15,2194,13,5,131.2,1.1,2418,,536,6,7,28.16,15.1,0.55,71.82,-1.35,1.06,1.22,140.9,125.2,3.5,1.5,14.9,227.96,0.3,5158.5
Viktor Erdos,1.31,132.2,1.31,2417,13,9,150.6,1.12,2590,,601,7,7,23.94,30.67,1.01,107.5,-1.37,1.31,1.11,133.7,130.7,4.5,2,16.98,940.94,1.03,11556.21
Jules Moussard,1.21,132.2,1.21,2468,14,6.5,134.1,0.94,2663,,610,6,7,21.41,42.13,1.21,59.83,-1.37,2.13,0.61,108.3,152.7,4.5,4.5,17,1774.73,1.46,3579.87
Ulziikhishig Khishigbat,1.15,132.2,1.15,2257,12,8.5,155,0.92,1957,,514,6,6,20.51,38.44,1.01,222.4,-1.37,0.78,1.53,147.4,117,5,3.5,13.85,1477.41,1.02,49462
Jose Carlos Ibarra Jerez,1.08,132.1,1.08,2337,12,5.5,148,1.02,2600,,610,7,5,13.8,32.25,1.05,13.76,-1.37,0.94,1.28,137.7,124.3,3.5,2,12.98,1039.98,1.11,189.36
Nihal Sarin,1.39,131.9,1.39,2600,18,10.5,141.1,1.28,2695,,903,10,8,23.28,31.18,0.98,128.57,-1.39,1.27,1.53,138,124.1,6.5,4,24.94,972.15,0.95,16528.97
Atharvaa_P Tayade,1.08,131.6,1.08,1934,21,16.5,157.6,0.57,1920,,786,9,12,17.92,47.83,1.27,137.13,-1.4,0.6,1.44,148.3,119.1,8,8.5,22.74,2287.35,1.6,18804.39
Nigel D Short,1.12,131,1.12,2339,14,6,133.8,1.01,2551,,610,7,7,30.68,28.22,0.82,128.92,-1.44,0.8,1.45,145.5,116.4,5,1,15.74,796.37,0.67,16620.54
Bella Khotenashvili,1.16,130.9,1.16,2267,12,9,154,1.02,2346,,518,6,6,26.6,43.82,1.08,96.97,-1.44,1.14,1.17,131.3,130.5,5,4,13.88,1920.13,1.16,9404.05
Augustin Madan,1.3,130.8,1.3,2338,9,3,133.8,1.39,2176,,299,4,5,28.39,11.74,0.51,8.43,-1.44,1.37,1.23,129,132.2,1.5,1.5,11.66,137.91,0.26,71.13
Stavroula Tsolakidou,1.18,130.7,1.18,2327,22,15.5,147.9,0.98,2361,,913,12,10,19.4,33.97,1.01,139.08,-1.45,1.15,1.2,127.7,134.2,7.5,8,25.87,1154.21,1.02,19343.65
Turmunkh Munkhzul,1.28,130.5,1.28,2386,13,9,135.4,1.21,2260,,547,7,6,41.98,29.85,0.95,115.93,-1.46,1.38,1.16,122.2,140.2,4,5,16.64,890.95,0.9,13439.32
Arthur Kogan,0.98,130.5,0.98,2219,12,2.5,135.3,0.74,2488,,455,6,6,17.14,29.31,1.02,87.88,-1.46,0.79,1.17,134.5,126.5,1,1.5,11.76,859.08,1.03,7722.16
Aaravamudhan Balaji,1.11,130.2,1.11,2272,12,6.5,148.2,1.04,2312,,657,7,5,15.2,40.8,1.26,63.36,-1.48,0.98,1.28,131.7,128.1,3.5,3,13.28,1664.28,1.58,4014.92
Bat-Erdene Mungunzul,1.29,130,1.29,2338,12,7.5,133.5,1.27,2279,,694,6,6,27.98,28.41,0.96,54.46,-1.48,1,1.57,141.8,118.3,4,3.5,15.46,806.95,0.92,2965.4
