Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Yi Wei,157.65,0.37,23.12,10.0,5.0,162.65,0.03,2762.0,2632.0,492.0,4.0,6.0,3.62,12.38,0.6,55.35,0.0,0.2,0.49,163.92,153.47,2.0,3.0,3.74,153.28,0.28,0.44,0.67,0.36,3063.11
Wesley So,157.46,0.37,8.98,10.0,6.5,162.25,0.1,2752.0,2731.0,493.0,5.0,5.0,5.62,15.28,0.51,9.21,0.0,0.43,0.3,160.9,154.02,4.5,2.0,3.65,233.52,0.26,0.68,0.82,0.26,84.86
Matthias Bluebaum,156.11,0.48,8.38,10.0,7.5,159.4,0.42,2640.0,2662.0,428.0,6.0,4.0,8.38,10.58,0.37,7.29,-0.08,0.33,0.7,160.27,149.88,5.5,2.0,4.78,111.86,0.1,0.33,0.57,0.14,53.17
M. Amin Tabatabaei,155.95,0.43,41.39,10.0,4.5,159.45,0.44,2714.0,2589.0,456.0,4.0,6.0,6.3,9.24,0.41,116.21,-0.09,0.66,0.27,149.43,160.3,1.5,3.0,4.28,85.45,0.11,0.25,0.5,0.17,13504.76
Velimir Ivic,155.7,0.42,6.13,10.0,7.0,159.2,0.24,2599.0,2647.0,417.0,4.0,6.0,6.66,11.73,0.48,6.07,-0.1,0.22,0.55,158.18,154.05,3.0,4.0,4.16,137.51,0.08,0.4,0.63,0.23,36.87
Richard Rapport,154.95,0.62,6.87,10.0,6.0,160.6,0.36,2715.0,2720.0,475.0,5.0,5.0,7.32,17.12,0.91,4.71,-0.14,0.21,1.04,162.58,147.32,3.0,3.0,6.25,293.15,0.16,0.85,0.92,0.83,22.21
Kirill Shevchenko,154.9,0.34,35.31,10.0,4.5,160.3,0.04,2673.0,2494.0,455.0,5.0,5.0,3.92,12.91,0.55,90.06,-0.14,0.28,0.4,155.14,154.66,2.5,2.0,3.42,166.62,0.15,0.48,0.7,0.3,8110.14
Praggnanandhaa R,154.59,0.52,7.72,10.0,6.0,160.7,0.29,2750.0,2711.0,373.0,5.0,5.0,6.36,14.76,0.7,6.58,-0.16,0.26,0.78,161.28,147.9,3.5,2.5,5.19,217.75,0.17,0.63,0.8,0.49,43.33
Nijat Abasov,154.39,0.41,8.11,10.0,5.0,159.55,0.17,2626.0,2524.0,391.0,5.0,5.0,6.6,11.65,0.53,8.21,-0.17,0.36,0.46,157.32,151.46,2.5,2.5,4.08,135.79,0.11,0.39,0.63,0.28,67.33
Benjamin Gledura,153.9,0.47,28.49,10.0,7.0,161.3,0.05,2628.0,2690.0,428.0,6.0,4.0,4.57,19.7,0.75,66.78,-0.2,0.62,0.25,152.55,155.93,4.5,2.5,4.69,388.03,0.2,1.12,1.06,0.56,4459.26
Nodirbek Yakubboev,153.52,0.55,26.46,10.0,5.0,156.85,0.56,2666.0,2556.0,433.0,4.0,6.0,7.6,11.37,0.39,60.8,-0.22,0.63,0.5,150.6,155.47,2.5,2.5,5.52,129.29,-0.04,0.38,0.61,0.16,3696.23
Shamsiddin Vokhidov,152.99,0.69,62.36,10.0,7.0,158.2,0.56,2650.0,2687.0,485.0,4.0,6.0,8.4,13.56,0.65,117.09,-0.25,0.72,0.67,151.48,154.0,3.0,4.0,6.9,183.79,0.03,0.53,0.73,0.43,13710.98
Yagiz Kaan Erdogmus,152.75,0.59,76.36,10.0,7.0,158.6,0.58,2592.0,2603.0,436.0,5.0,5.0,10.12,10.67,0.39,142.61,-0.26,0.6,0.57,153.86,151.64,3.5,3.5,5.87,113.76,0.06,0.33,0.58,0.15,20338.49
Javokhir Sindarov,152.26,0.53,34.98,10.0,5.0,153.4,0.46,2677.0,2604.0,377.0,6.0,4.0,7.72,10.98,0.41,80.63,-0.29,0.46,0.62,157.0,145.15,4.0,1.0,5.28,120.48,-0.22,0.35,0.59,0.17,6501.81
Sanan Sjugirov,152.2,0.6,53.78,10.0,5.0,156.75,0.53,2644.0,2575.0,435.0,6.0,4.0,7.64,9.88,0.44,97.77,-0.29,0.38,0.92,158.08,143.38,3.5,1.5,5.97,97.59,-0.04,0.28,0.53,0.19,9559.6
