Player,avg_gi,avg_missed_points,TPR,Points,gi_median,missed_points_median,Elo,total_moves,White_games,Black_games,gi_std,missed_points_std,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum
Jakhongir Vakhidov,139.94,1.15,2658,7.5,137.7,0.96,2466,689,7,6,18.87,0.7,0.97,1.36,140.69,139.07,3,4.5
Arystanbek Urazayev,139.8,0.95,2443,6,137,0.81,2423,614,6,7,14.16,0.48,1.19,0.74,137.13,142.09,3.5,2.5
Awonder Liang,139.7,1.01,2494,5.5,141.2,1.05,2519,538,7,6,17.06,0.56,0.92,1.12,139.23,140.25,2.5,3
Andy Woodward,139.25,0.88,2471,5.5,141.3,0.62,2530,568,7,6,26.85,0.86,0.47,1.36,153.66,122.43,3.5,2
Magnus Carlsen,139.11,0.97,2575,5,151.65,0.52,2838,417,4,4,27.16,0.96,0.76,1.19,149.45,128.78,3.5,1.5
Aydin Suleymanli,139.09,1.06,2459,6.5,142,0.89,2549,678,6,7,23.54,0.74,0.92,1.19,151.23,128.69,4.5,2
Mark Smirnov,138.75,0.93,2480,5.5,143.9,0.83,2045,810,6,7,27.95,0.79,0.95,0.91,143.03,135.07,3.5,2
Shanglei Lu,138.58,0.93,2486,6,140.9,0.72,2638,537,7,6,26.29,0.92,1.19,0.63,132.31,145.9,3.5,2.5
Mads Andersen,138.41,0.84,2341,6,143.9,0.81,2512,577,6,7,25.5,0.69,0.98,0.72,135.1,141.24,3,3
Vasyl Ivanchuk,138.2,1.1,2526,6.5,142.2,1.11,2647,689,6,7,21.72,0.85,1,1.2,144.18,133.07,4,2.5
Tuan Minh Le,138.02,1.14,2557,6.5,136.1,1.23,2492,666,6,7,16.42,0.74,0.97,1.28,139.38,136.84,1.5,5
Ivan Zemlyanskii,138.01,1.16,2597,7,143.6,1.19,2495,600,7,6,23.75,0.97,1.41,0.86,128.9,148.63,2,5
Shamsiddin Vokhidov,137.97,0.93,2445,5.5,149.2,0.63,2540,568,6,7,30.25,0.86,1.43,0.5,126.62,147.7,3.5,2
Nderim Saraci,137.8,0.95,2431,6,150.9,0.64,2419,576,6,7,23.37,0.74,1.22,0.73,132.93,141.97,3.5,2.5
