Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Robert Ernst,134.4,0.67,81.04,3.0,1.0,134.2,0.8,2378,2200,126,2,1,23.68,24.0,0.72,117.0,-1.25,0.6,0.8,134.5,134.2,1.0,0.0,2.01,576.03,0.52,13688.02
Philipp Leon Klaska,134.0,0.7,24.08,2.0,0.0,134.0,0.7,2250,2072,73,1,1,24.08,2.05,0.05,5.31,-1.27,0.66,0.73,135.5,132.6,0.0,0.0,1.39,4.21,0.0,28.2
Senthil_Maran K,134.0,0.86,15.41,3.0,0.5,141.9,0.78,2356,2032,97,1,2,16.82,18.59,0.37,7.57,-1.27,1.26,0.66,112.8,144.6,0.0,0.5,2.57,345.7,0.14,57.37
Felix Werthebach,133.9,1.2,64.08,3.0,1.5,147.0,1.32,2233,2441,183,1,2,12.57,32.83,0.85,96.58,-1.28,1.99,0.81,96.5,152.6,0.0,1.5,3.61,1078.0,0.72,9328.45
Robin Langner,133.8,1.2,28.12,2.0,1.0,133.8,1.2,2061,2382,73,1,1,28.12,7.28,0.9,10.95,-1.28,0.56,1.83,138.9,128.6,0.0,1.0,2.39,53.05,0.81,119.97
Borna Derakhshani,133.8,1.1,14.8,4.0,2.0,139.2,1.01,2364,2176,160,2,2,16.3,27.06,0.81,7.37,-1.28,0.47,1.74,155.2,112.4,1.0,1.0,4.42,731.99,0.65,54.29
Jakob Postlmayer,133.3,1.14,22.72,8.0,5.0,156.4,0.53,2403,2468,404,5,3,11.7,37.19,1.19,28.57,-1.31,0.82,1.68,146.7,110.9,4.0,1.0,9.12,1382.96,1.42,816.34
Jan Saminskij,133.1,0.71,22.42,1.0,0.0,133.1,0.71,2147,2176,40,0,1,22.42,0.0,0.0,0.0,-1.32,,0.71,,133.1,0.0,0.0,0.71,0.0,0.0,0.0
Sylvain Degardin,133.0,0.89,95.78,6.0,2.5,146.5,0.7,2296,2394,281,4,2,17.42,33.68,0.88,140.69,-1.32,0.99,0.7,126.0,147.1,1.5,1.0,5.35,1134.49,0.78,19792.37
Lev Yankelevich,132.6,1.23,55.6,3.0,2.0,152.6,1.14,2413,2464,174,2,1,16.66,40.31,1.22,78.44,-1.35,1.82,0.06,119.4,159.0,1.0,1.0,3.69,1624.96,1.48,6152.2
Leonid Milov,132.6,0.98,18.0,8.0,4.5,151.4,0.62,2416,2271,397,4,4,8.16,38.35,1.11,28.74,-1.35,0.49,1.46,150.2,115.0,2.5,2.0,7.8,1470.81,1.23,826.19
Axel Thouard,132.5,0.94,25.74,2.0,1.0,132.5,0.94,2154,2360,60,1,1,25.74,37.76,0.8,9.44,-1.35,1.51,0.38,105.8,159.2,0.0,1.0,1.89,1425.78,0.64,89.11
Hakan Turgut,132.4,0.9,25.7,3.0,0.5,127.4,1.32,2088,2097,113,1,2,15.37,23.15,0.78,32.14,-1.36,1.38,0.66,127.4,134.8,0.5,0.0,2.7,536.06,0.61,1033.04
Mathias Philipp,131.9,0.77,31.62,1.0,0.0,131.9,0.77,2197,2233,26,0,1,31.62,0.0,0.0,0.0,-1.38,,0.77,,131.9,0.0,0.0,0.77,0.0,0.0,0.0
Aron Moritz,131.8,0.85,20.5,1.0,0.0,131.8,0.85,2305,2353,38,0,1,20.5,0.0,0.0,0.0,-1.39,,0.85,,131.8,0.0,0.0,0.85,0.0,0.0,0.0
Patryk Mrozowski,131.7,1.34,16.29,1.0,0.5,131.7,1.34,2220,2522,49,0,1,16.29,0.0,0.0,0.0,-1.4,,1.34,,131.7,0.0,0.5,1.34,0.0,0.0,0.0
Zarina Nurgaliyeva,131.3,1.22,79.64,4.0,2.5,144.7,0.66,2199,2573,147,3,1,32.12,39.18,1.52,106.29,-1.42,1.42,0.6,123.4,155.1,2.0,0.5,4.87,1534.71,2.31,11296.62
Cedric Pahud,131.1,0.77,129.96,1.0,0.0,131.1,0.77,2135,2171,74,0,1,129.96,0.0,0.0,0.0,-1.42,,0.77,,131.1,0.0,0.0,0.77,0.0,0.0,0.0
Levente Miszler,131.0,1.04,250.76,2.0,0.5,131.0,1.04,2271,2223,115,1,1,250.76,13.65,0.05,341.43,-1.43,1.08,1.01,121.4,140.7,0.0,0.5,2.09,186.24,0.0,116572.06
Joachim Wintzer,131.0,0.98,25.54,1.0,0.0,131.0,0.98,2243,2432,35,0,1,25.54,0.0,0.0,0.0,-1.43,,0.98,,131.0,0.0,0.0,0.98,0.0,0.0,0.0
Romain Gemelli,130.8,0.8,25.61,1.0,0.0,130.8,0.8,2193,2223,41,0,1,25.61,0.0,0.0,0.0,-1.44,,0.8,,130.8,0.0,0.0,0.8,0.0,0.0,0.0
Samuel Weber,130.6,1.06,103.72,2.0,0.5,130.6,1.06,2302,2274,98,0,2,103.72,33.66,0.64,138.73,-1.46,,1.06,,130.6,0.0,0.5,2.11,1132.88,0.41,19247.22
Arshak Ovsepyan,130.2,0.82,26.87,1.0,0.0,130.2,0.82,2236,2221,55,1,0,26.87,0.0,0.0,0.0,-1.48,0.82,,130.2,,0.0,0.0,0.82,0.0,0.0,0.0
