Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Trygve Dahl,136.8,1.02,14.33,9.0,5.5,147.3,0.8,2224,2251,388,5,4,11.98,28.88,0.83,8.02,-1.12,0.54,1.62,153.6,115.8,3.5,2.0,9.18,834.1,0.69,64.25
Sebastian Mihajlov,136.7,0.73,12.57,5.0,3.0,158.1,0.13,2358,2251,163,2,3,9.83,35.66,0.98,8.59,-1.13,0.04,1.2,158.2,122.3,1.5,1.5,3.67,1271.35,0.97,73.76
Eivind Olav Risting,136.5,0.98,15.56,6.0,2.5,138.4,0.6,2321,2337,240,3,3,13.08,23.99,0.97,9.48,-1.14,0.67,1.28,142.4,130.6,1.0,1.5,5.85,575.52,0.94,89.86
Oystein Boyum Fossum,135.9,1.11,9.62,4.0,2.5,156.1,0.71,2319,2393,260,2,2,9.49,43.08,1.35,8.2,-1.17,1.65,0.56,115.1,156.6,1.5,1.0,4.43,1855.64,1.83,67.17
Asmund Hammerstad,135.7,1.08,12.53,5.0,3.0,148.9,1.24,2170,2217,298,3,2,12.47,23.39,0.52,3.87,-1.18,1.02,1.18,137.6,132.8,2.0,1.0,5.41,547.07,0.27,14.96
Amadeus Hestvik Evenshaug,135.6,0.93,13.03,5.0,2.0,140.0,1.25,2247,2083,182,2,3,13.32,23.19,0.62,6.0,-1.19,0.76,1.04,149.0,126.6,1.5,0.5,4.63,537.56,0.39,35.97
Benjamin Arvola Notkevich,134.9,0.85,12.31,3.0,1.0,128.4,0.89,2465,2233,132,1,2,9.4,21.35,0.3,7.79,-1.22,0.89,0.83,128.4,138.1,0.0,1.0,2.55,455.72,0.09,60.68
Shazil Shehzad,134.6,0.73,15.04,3.0,0.5,123.9,1.02,2334,2076,107,1,2,17.87,20.65,0.53,8.32,-1.24,1.04,0.57,123.9,140.0,0.0,0.5,2.18,426.27,0.28,69.2
Frode Olav Olsen Urkedal,134.5,1.08,10.87,9.0,5.0,144.6,0.81,2545,2475,522,5,4,12.02,33.31,0.96,6.48,-1.25,1.2,0.94,137.6,130.5,3.0,2.0,9.75,1109.37,0.92,42.01
Jonathan D Tisdall,134.5,1.06,12.11,6.0,3.0,134.0,1.18,2366,2416,309,3,3,14.54,24.09,0.74,6.32,-1.25,1.01,1.11,140.5,128.4,2.0,1.0,6.36,580.1,0.55,39.93
Jens Hjorth Kjolberg,134.4,0.81,12.79,8.0,2.0,138.8,0.8,2192,2132,375,3,5,12.85,27.22,0.74,9.8,-1.25,0.28,1.12,155.6,121.7,1.0,1.0,6.45,740.99,0.55,95.96
Sigve Holleland,134.0,0.87,16.72,8.0,1.5,136.6,0.6,2196,1979,269,4,4,17.34,14.87,0.72,8.01,-1.27,0.75,1.0,136.2,131.7,0.5,1.0,6.98,221.11,0.52,64.14
Vladimir Georgiev,133.3,1.06,24.91,3.0,1.0,134.3,0.98,2375,2285,109,2,1,24.48,7.7,0.58,7.43,-1.31,1.1,0.98,137.4,125.2,1.0,0.0,3.17,59.22,0.34,55.2
Linus Johansson,133.1,0.85,13.08,5.0,2.5,130.8,1.25,2396,2276,288,3,2,14.75,25.77,0.68,6.05,-1.32,0.94,0.72,132.1,134.6,1.5,1.0,4.26,663.98,0.46,36.58
Emerik Vapenstad Roulet-Dubonnet,132.5,1.15,12.77,6.0,3.0,138.2,1.3,2260,2270,315,3,3,14.9,27.77,0.95,9.49,-1.35,1.69,0.6,121.1,143.9,2.0,1.0,6.88,771.15,0.9,90.04
Eivind Bruaset,132.4,0.94,12.16,9.0,3.5,140.0,0.53,2242,2185,367,5,4,9.39,28.21,0.93,8.66,-1.36,0.77,1.16,140.5,122.2,2.5,1.0,8.49,795.86,0.87,75.02
Rune Djurhuus,132.3,1.07,15.25,9.0,3.0,133.6,1.05,2372,2304,393,4,5,15.24,21.33,0.75,8.31,-1.36,0.89,1.21,134.7,130.5,1.0,2.0,9.6,454.93,0.56,69.1
Valentina Verbin,132.1,1.16,18.37,3.0,1.5,139.6,0.99,2093,2094,147,1,2,16.13,29.96,0.41,5.88,-1.37,0.86,1.31,157.6,119.4,1.0,0.5,3.47,897.75,0.17,34.52
Joran Aulin-Jansson,131.9,1.0,39.35,9.0,3.0,137.4,1.06,2114,2098,410,4,5,12.44,23.57,0.74,80.27,-1.38,1.12,0.92,135.6,129.0,2.0,1.0,9.04,555.64,0.54,6443.3
John Paul Wallace,131.8,0.94,18.97,6.0,1.5,135.0,0.8,2350,2205,266,4,2,16.62,21.04,0.49,10.33,-1.39,0.86,1.1,133.0,129.2,1.0,0.5,5.62,442.68,0.24,106.76
Elham Amar,131.5,1.11,2.62,4.0,2.0,140.4,0.8,2536,2470,214,3,1,4.88,36.82,1.22,18.63,-1.41,1.12,1.07,134.8,121.5,2.0,0.0,4.43,1355.75,1.49,346.95
Daniel Nordquelle,130.7,1.17,19.85,6.0,2.5,128.4,1.14,2132,2147,235,1,5,19.05,12.45,0.31,4.8,-1.45,1.17,1.17,115.6,133.7,0.0,2.5,7.0,155.03,0.1,23.05
Bruce Diesen,130.4,1.14,18.52,4.0,2.0,127.8,1.24,2063,2126,207,2,2,14.23,21.94,0.45,9.43,-1.46,0.82,1.46,138.1,122.6,1.0,1.0,4.54,481.38,0.2,88.83
