Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Alexandr Pereslavtsev,139.1,1.33,198.32,9,3.0,145.4,0.84,2079,2102,387,5,4,34.12,27.21,1.37,300.58,-1.0,0.45,2.44,154.8,119.4,1.5,1.5,12.0,740.4,1.88,90345.52
Sheng Liang Bernard Chan,137.9,1.31,80.12,8,2.0,133.4,1.44,2098,1999,424,4,4,27.68,21.53,0.92,114.93,-1.06,1.53,1.09,136.1,139.8,1.5,0.5,10.48,463.72,0.85,13210.01
Monika Ashbrooke,137.7,1.13,177.46,8,0.5,138.0,1.06,1591,1640,252,4,4,165.53,10.61,0.49,150.95,-1.07,1.17,1.1,135.9,139.5,0.0,0.5,9.07,112.61,0.24,22786.68
Balahari Bharat Kumar,137.7,1.4,35.45,9,3.0,131.2,1.5,2052,1986,448,4,5,21.7,14.8,0.53,42.82,-1.07,1.17,1.59,140.5,135.5,1.0,2.0,12.63,218.95,0.28,1833.95
Lewis A Turner,135.6,1.18,23.35,5,0.0,141.7,0.86,1965,1632,172,3,2,21.45,12.92,0.7,4.9,-1.18,0.94,1.54,140.1,128.9,0.0,0.0,5.91,166.98,0.49,24.01
Abigail Riis Weersing,135.6,1.5,92.73,8,2.5,139.9,0.96,2056,1967,362,4,4,36.66,22.2,1.01,123.2,-1.18,1.63,1.36,136.6,134.6,2.0,0.5,11.98,492.67,1.03,15177.73
Matthew J Harborne,134.0,1.6,67.5,9,3.0,138.8,1.01,2048,2048,420,4,5,38.57,22.42,1.47,80.28,-1.27,1.56,1.63,137.8,131.0,2.0,1.0,14.43,502.52,2.17,6445.25
Gerda Nevska,133.8,1.47,28.72,8,1.5,143.6,1.46,1799,1836,299,4,4,33.15,19.44,0.98,15.15,-1.28,1.89,1.04,127.2,140.5,1.0,0.5,11.73,377.78,0.96,229.67
Paul A Carpenter,133.7,1.45,59.54,9,1.5,135.7,1.33,1922,1696,387,5,4,35.17,17.16,0.72,72.24,-1.29,1.55,1.34,130.8,137.5,0.5,1.0,13.07,294.39,0.52,5219.19
Sam Jukes,126.8,1.76,29.85,5,0.5,134.1,1.38,1972,1770,184,2,3,28.88,18.98,0.95,9.99,-1.66,1.32,2.05,137.6,119.5,0.5,0.0,8.8,360.23,0.9,99.71
Arita Strade,124.6,2.03,68.33,8,2.0,132.0,1.58,1971,1863,318,3,5,36.22,26.34,1.38,93.8,-1.78,1.31,2.46,133.2,119.4,0.0,2.0,16.23,693.78,1.92,8798.11
