Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,missed_points_var,acpl_var
Afruza Khamdamova,129.22,1.18,41.44,9,4.0,137.3,1.11,2354.0,2435.0,493,4,5,23.48,41.55,1.29,52.79,-1.53,1.64,0.81,114.28,141.18,1.5,2.5,10.59,1726.76,-1.09,5.02,2.24,1.67,2787.21
Mohamed Ezat,129.06,1.06,35.46,8,2.0,131.5,0.9,2312.0,2184.0,414,4,4,16.76,28.24,0.64,41.17,-1.54,0.85,1.27,139.55,118.58,1.5,0.5,8.47,797.44,-1.4,2.32,1.52,0.41,1694.92
Ayan Akhmetov,128.83,1.1,47.42,9,4.5,117.8,1.14,2417.0,2369.0,463,5,4,26.98,30.82,0.91,57.32,-1.55,1.15,1.03,127.06,131.05,2.0,2.5,9.86,949.82,-2.14,2.76,1.66,0.84,3286.14
Mohamed_Anees M,128.17,1.27,42.01,9,3.5,126.4,1.03,2344.0,2309.0,441,5,4,19.66,23.76,0.61,68.15,-1.58,1.22,1.34,127.92,128.48,1.5,2.0,11.44,564.62,-1.68,1.64,1.28,0.37,4644.84
Oliwia Kiolbasa,127.2,1.05,56.45,9,2.5,139.0,0.98,2371.0,2273.0,390,4,5,27.23,30.25,0.77,99.1,-1.64,0.6,1.41,142.88,114.66,1.0,1.5,9.45,915.24,-1.0,2.66,1.63,0.6,9821.27
M. Kunal,126.93,1.22,44.67,9,3.5,130.5,1.11,2292.0,2348.0,493,5,4,21.8,22.61,0.73,92.5,-1.65,0.98,1.51,136.12,115.45,2.5,1.0,10.94,511.0,-1.46,1.49,1.22,0.53,8556.72
Monika Socko,126.06,1.06,118.87,9,2.0,129.5,1.19,2402.0,2142.0,419,4,5,42.11,22.76,0.58,132.08,-1.7,1.16,0.99,120.28,130.68,1.0,1.0,9.58,518.08,-1.51,1.5,1.22,0.33,17444.04
Andreea Navrotescu,125.64,1.18,132.4,7,1.5,135.7,1.17,2356.0,2156.0,309,3,4,37.52,21.85,0.52,134.42,-1.72,1.3,1.08,126.0,125.38,1.0,0.5,8.25,477.55,-1.18,1.39,1.18,0.28,18068.3
Jaiveer Mahendru,124.28,1.25,19.56,9,2.5,125.8,1.1,2271.0,2195.0,435,4,5,18.87,22.45,0.69,6.68,-1.79,1.76,0.83,105.62,139.2,1.0,1.5,11.23,504.0,-1.71,1.46,1.21,0.47,44.67
Bagwe Gaurang,124.26,1.32,93.09,9,4.5,134.1,1.18,2302.0,2382.0,520,4,5,32.66,34.85,1.16,109.49,-1.8,1.32,1.32,124.0,124.46,2.0,2.5,11.89,1214.22,-1.27,3.54,1.88,1.35,11988.51
Hamed Wafa,123.46,1.19,47.51,8,1.5,124.9,0.93,2359.0,2086.0,462,4,4,30.62,15.71,0.72,60.58,-1.84,1.68,0.7,113.8,133.12,1.5,0.0,9.54,246.8,-1.76,0.72,0.85,0.52,3669.81
Ajay_Santhosh Parvathareddy,122.63,1.3,40.82,9,3.5,136.0,0.7,2299.0,2350.0,513,4,5,17.25,49.86,1.49,51.0,-1.88,0.38,2.05,147.8,102.5,1.5,2.0,11.74,2486.35,-1.16,7.23,2.69,2.22,2600.65
